Designator,Mid X,Mid Y,Rotation,Layer
C1,79.485,-65.5,270.0,top
C2,188.985,-65.4625,270.0,top
C3,95.485,-65.5,270.0,top
C4,205.0,-65.5,270.0,top
C5,111.485,-65.5,270.0,top
C6,220.75,-65.5,270.0,top
C7,127.485,-65.5,270.0,top
C8,236.5,-65.5,270.0,top
J1,64.0,-53.0,0.0,top
J10,220.66,-45.0,90.0,top
J11,127.64,-45.01,90.0,top
J12,237.0,-45.0,90.0,top
J13,132.5,-53.0,0.0,top
J14,132.5,-70.5,0.0,top
J15,241.0,-53.0,0.0,top
J16,241.0,-70.5,0.0,top
J2,64.0,-70.5,0.0,top
J3,172.5,-53.0,0.0,top
J4,172.5,-70.5,0.0,top
J5,79.75,-45.0,90.0,top
J6,188.735,-45.0,90.0,top
J7,95.67,-44.9175,90.0,top
J8,204.635,-45.0,90.0,top
J9,111.64,-45.0,90.0,top
JP1,74.73,-45.0,90.0,top
JP10,90.73,-65.5,90.0,top
JP11,199.73,-61.0,90.0,top
JP12,199.73,-65.5,90.0,top
JP13,74.73,-41.25,90.0,top
JP14,235.73,-41.0,90.0,top
JP15,106.73,-45.1225,90.0,top
JP16,215.73,-45.0,90.0,top
JP17,106.73,-61.0,90.0,top
JP18,106.755,-65.5,90.0,top
JP19,215.73,-61.0,90.0,top
JP2,183.73,-45.0,90.0,top
JP20,215.73,-65.5,90.0,top
JP21,122.73,-45.0,90.0,top
JP22,231.73,-45.0,90.0,top
JP23,122.73,-61.0,90.0,top
JP24,122.73,-65.5,90.0,top
JP25,231.73,-61.0,90.0,top
JP26,231.73,-65.5,90.0,top
JP3,74.73,-61.0,90.0,top
JP4,74.715,-65.5,90.0,top
JP5,183.73,-61.0,90.0,top
JP6,183.73,-65.4625,90.0,top
JP7,90.73,-45.0,90.0,top
JP8,199.73,-45.0,90.0,top
JP9,90.73,-61.0,90.0,top
L1,76.0,-53.0,0.0,top
L10,217.0,-53.0,0.0,top
L11,111.485,-71.25,270.0,top
L12,220.735,-71.5,270.0,top
L13,124.0,-53.0,0.0,top
L14,233.0,-53.0,0.0,top
L15,127.485,-71.25,270.0,top
L16,236.485,-71.0,270.0,top
L2,185.0,-53.0,0.0,top
L3,79.485,-71.25,270.0,top
L4,188.985,-71.7125,270.0,top
L5,92.0,-53.0,0.0,top
L6,201.0,-53.0,0.0,top
L7,95.485,-71.25,270.0,top
L8,204.985,-71.5,270.0,top
L9,108.0,-53.0,0.0,top
R1,68.0,-53.0,0.0,top
R10,209.0,-53.0,0.0,top
R11,111.485,-61.0,270.0,top
R12,220.735,-61.0,270.0,top
R13,116.0,-53.0,0.0,top
R14,225.0,-53.0,0.0,top
R15,127.485,-61.0,270.0,top
R16,236.5,-61.0,270.0,top
R2,177.0,-53.0,0.0,top
R3,79.485,-61.0,270.0,top
R4,188.985,-61.0,270.0,top
R5,84.0,-53.0,0.0,top
R6,193.0,-53.0,0.0,top
R7,95.485,-61.0,270.0,top
R8,204.985,-61.0,270.0,top
R9,100.0,-53.0,0.0,top
